img,movie_name,year,genre,Overview,Director,Actor1,Actor2,Actor3,Actor4
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Vivah,-2006,"Drama, Musical, Romance","Poonam, a traditionally brought-up young woman, is to marry Prem, a groom chosen by her uncle. Poonam and Prem's faith and love are to be tested however, when an accident occurs and Poonam might be scarred for life.",Sooraj R. Barjatya,Shahid Kapoor,Amrita Rao,Anupam Kher,Alok Nath
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Chup Chup Ke,-2006,"Comedy, Drama, Romance","A debt-ridden young man attempts suicide, but is rescued only to find that his luck is finally turning.",Priyadarshan,Kookie Gulati,Shahid Kapoor,Kareena Kapoor,Om Puri
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ladies vs. Ricky Bahl,-2011,"Comedy, Crime, Drama","A smooth and charming conman, Ricky Bahl, cons girls for a living but finally meets his match is this fun-filled ""ROM-CON.""",Maneesh Sharma,Ranveer Singh,Anushka Sharma,Parineeti Chopra,Dipannita Sharma
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Shubh Mangal Savdhan,-2017,"Comedy, Romance","In this remake of  (2013), a couple fall in love but then the groom discovers that he suffers from erectile dysfunction.",R.S. Prasanna,Ayushmann Khurrana,Bhumi Pednekar,Seema Bhargava,Anshul Chauhan
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Son of Sardaar,-2012,"Action, Comedy","A guest tries to stay inside the house of a man who can't kill him unless he's outside, because of believing guest to be equal to God.",Ashwani Dhir,Anil Devgan,Ajay Devgn,Sanjay Dutt,Sonakshi Sinha
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Malang,-2020,"Action, Crime, Drama","Advait visits Goa where he meets Sara, a free-spirited girl who lives life unshackled. Opposites attract and all goes well until life turns upside down. Years later, Advait is on a killing spree with cops Aghase and Michael in his way.",Mohit Suri,Aditya Roy Kapoor,Anil Kapoor,Disha Patani,Kunal Khemu
"https://m.media-amazon.com/images/M/MV5BODE2Njk4MTU4NV5BMl5BanBnXkFtZTcwNjU4OTc1Ng@@._V1_UY98_CR3,0,67,98_AL_.jpg",Mere Brother Ki Dulhan,-2011,"Comedy, Drama, Family",A quirky rom-com where Kush finds the ideal Indian bride Dimple for his brother Luv and a series of comical and unpredictable events follow.,Ali Abbas Zafar,Imran Khan,Katrina Kaif,Ali Zafar,Tara D'Souza
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,The Dirty Picture,-2011,"Biography, Comedy, Drama","The love story between an actress and a director, inspired by the life of the late south Indian actress .",Milan Luthria,Vidya Balan,Emraan Hashmi,Tusshar Kapoor,Naseeruddin Shah
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Parineeta,-2005,"Drama, Musical, Romance",The lifelong romance between Lolita (Balan) and Shekar (Khan) is upset by the arrival of another man.,Pradeep Sarkar,Vidya Balan,Saif Ali Khan,Sanjay Dutt,Dia Mirza
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Luka Chuppi,(I) (2019),"Comedy, Romance","Pretending to be married in order to cohabitate, a small-town couple lands in endless awkward situations to hide the truth from their orthodox families.",Laxman Utekar,Kartik Aaryan,Kriti Sanon,Aparshakti Khurana,Pankaj Tripathi
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Salaam Bombay!,-1988,"Crime, Drama","Heartrending story of life in the back alleys and gutters of India, where young Krishna must struggle to survive among the drug dealers, pimps, and prostitutes. In HD.",Mira Nair,Shafiq Syed,Anjaan,Amrit Patel,Murari Sharma
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Mother India,-1957,"Drama, Musical, Family","In this melodrama, a poverty-stricken woman raises her sons through many trials and tribulations. But no matter the struggles, always sticks to her own moral code.",Mehboob Khan,Nargis,Sunil Dutt,Rajendra Kumar,Raaj Kumar
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Patiala House,-2011,"Drama, Sport","A talented young Indian cricket player must defy his father's wishes to play for the side of England, a rebellion his siblings quietly cheer.",Nikkhil Advani,Rishi Kapoor,Dimple Kapadia,Akshay Kumar,Anushka Sharma
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Phantom,(I) (2015),"Action, Drama, Thriller",A disgraced Indian soldier carries out a series of assassinations in the hope of restoring his honour.,Kabir Khan,Saif Ali Khan,Katrina Kaif,Sabyasachi Chakrabarty,Rajesh Tailang
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Housefull 3,-2016,"Action, Comedy, Romance","A father doesn't want his three daughters to get married. Now, it's up to three men to try to and convince the father that they're a good fit for his daughters.",Sajid,Farhad Samji,Akshay Kumar,Abhishek Bachchan,Riteish Deshmukh
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Yuva,-2004,"Action, Drama, Thriller","Michael, Arjun and Lallan, three men from three different strata of society, cross paths one morning in Calcutta and change one another's lives forever.",Mani Ratnam,Ajay Devgn,Abhishek Bachchan,Rani Mukerji,Vivek Oberoi
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Agneepath,-1990,"Action, Crime, Drama","A young boy's quest for revenge leads him to become a gangster as an adult, and with each day he becomes more and more like his enemies. Can he find vengeance and redemption?",Mukul Anand,Amitabh Bachchan,Mithun Chakraborty,Madhavi,Neelam Kothari
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Shakuntala Devi,-2020,"Biography, Drama","Shakuntala Devi, a mathematician's journey to become 'The Human Computer' and her relationship with her daughter.",Anu Menon,Vidya Balan,Adi Chugh,Sanya Malhotra,Jisshu Sengupta
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Bhootnath,-2008,"Comedy, Drama, Family","Moving into a new house, a family witnesses an unfriendly ghost who wants to drive them away from the house. However, he befriends a little boy who changes his outlook forever.",Vivek Sharma,Amitabh Bachchan,Juhi Chawla,Satish Shah,Rajpal Yadav
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Shuddh Desi Romance,-2013,"Comedy, Drama, Romance",A romantic comedy which tells the journey of three restless young people who junk society's syllabus for finding love and decide to follow their heart.,Maneesh Sharma,Sushant Singh Rajput,Parineeti Chopra,Rishi Kapoor,Vaani Kapoor
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Koyla,-1997,"Action, Drama, Musical","A village girl agrees to a marriage to a king she has never met after he sends her a photograph of himself. But the man in the photograph is not the king but his most loyal slave, the handsome but mute Shankar.",Rakesh Roshan,Shah Rukh Khan,Madhuri Dixit,Amrish Puri,Ranjeet
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Golmaal Again,-2017,"Action, Comedy, Fantasy",The gang encounters with some spiritual bodies and finds out the truth about the Jamnadas Orphanage where they were brought up.,Rohit Shetty,Ajay Devgn,Arshad Warsi,Tabu,Shreyas Talpade
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,MSG 2 the Messenger,-2015,"Action, Comedy, Drama","MSG 2 The Messenger is based on true events of Dera Sacha Sauda in years 2000-2001. Although the main story line is true, action & comedy is added for entertainment. Saint Gurmeet Ram Rahim...                 »",Gurmeet Ram Rahim Singh,Muntazir Ahmad,Charanpreet Insan,Honeypreet Insan,RooheMeet Insan
